Course1,Course2,Num_within_two_semesters
COMPSCI 121,STAT 110,553
COMPSCI 121,COMPSCI 61,353
COMPSCI 61,STAT 110,349
COMPSCI 51,ECON 10B,315
COMPSCI 20,COMPSCI 51,269
COMPSCI 50,ENG-SCI 51,263
COMPSCI 51,STAT 104,192
COMPSCI 124,STAT 111,177
COMPSCI 182,COMPSCI 61,175
COMPSCI 181,STAT 111,169
ENG-SCI 53,LIFESCI 1A,148
APMTH 21B,COMPSCI 51,144
ENG-SCI 123,ENG-SCI 96,132
COMPSCI 51,PHYSICS 15A,117
COMPSCI 50,ENG-SCI 53,115
ENG-SCI 181,ENG-SCI 96,112
COMPSCI 124,COMPSCI 134,108
COMPSCI 51,STAT 139,108
COMPSCI 51,MATH 23B,108
COMPSCI 51,ECON 1010A,105
COMPSCI 51,ECON 1010B,105
ENG-SCI 51,PHYSCI 12A,104
ENG-SCI 51,ENG-SCI 52,103
COMPSCI 181,STAT 171,101
COMPSCI 51,MATH 25B,101
COMPSCI 124,STAT 123,96
COMPSCI 181,STAT 139,95
APMTH 105,APMTH 121,94
COMPSCI 124,COMPSCI 179,94
ENG-SCI 125,ENG-SCI 181,93
ENG-SCI 51,PHYSICS 15A,92
COMPSCI 124,STAT 139,90
COMPSCI 51,ENG-SCI 50,90
ENG-SCI 120,ENG-SCI 96,90
APMTH 120,COMPSCI 124,89
COMPSCI 121,COMPSCI 171,89
CHEM 17,ENG-SCI 53,87
COMPSCI 152,COMPSCI 181,87
COMPSCI 181,STAT 123,87
COMPSCI 134,COMPSCI 181,86
ENG-SCI 120,ENG-SCI 52,86
ENG-SCI 150,ENG-SCI 96,86
ENG-SCI 51,LIFESCI 1A,82
COMPSCI 124,COMPSCI 136,81
COMPSCI 171,STAT 110,80
COMPSCI 124,COMPSCI 161,78
COMPSCI 124,COMPSCI 171,75
ENG-SCI 181,ENG-SCI 52,75
BE 191,ENG-SCI 123,74
COMPSCI 51,ENG-SCI 52,74
ENG-SCI 125,ENG-SCI 96,74
ENG-SCI 125,ENG-SCI 52,73
COMPSCI 51,PHYSICS 15B,72
COMPSCI 121,MATH 122,70
COMPSCI 136,COMPSCI 181,70
COMPSCI 121,ECON 1011A,69
ENG-SCI 123,ENG-SCI 183,69
COMPSCI 124,PSY 1002,68
APMTH 101,ENG-SCI 181,66
APMTH 105,ENG-SCI 96,66
APMTH 115,APMTH 121,65
COMPSCI 134,COMPSCI 182,64
ENG-SCI 183,ENG-SCI 96,64
APMTH 101,BE 110,62
COMPSCI 121,STAT 139,62
COMPSCI 124,MATH 157,62
COMPSCI 51,PHYSCI 11,62
COMPSCI 51,ECON 1011B,62
ENG-SCI 51,PHYSICS 15B,62
APMTH 105,COMPSCI 51,61
COMPSCI 181,STAT 149,61
BE 110,ENG-SCI 96,59
COMPSCI 134,COMPSCI 61,59
COMPSCI 51,LING 83,58
COMPSCI 61,MATH 122,58
COMPSCI 109A,COMPSCI 182,57
COMPSCI 161,COMPSCI 181,57
ENG-SCI 100HFA,ENG-SCI 190,57
APMTH 105,ENG-SCI 123,55
APMTH 106,STAT 110,55
CHEM 20,COMPSCI 51,55
COMPSCI 51,ECON 1123,55
ENG-SCI 100HFA,ENG-SCI 183,55
APMTH 21B,COMPSCI 20,54
COMPSCI 124,MATH 123,54
COMPSCI 182,STAT 139,54
COMPSCI 51,PHYSCI 12A,54
APMTH 120,COMPSCI 181,53
CHEM 27,COMPSCI 51,53
COMPSCI 124,ECON 1010B,53
ENG-SCI 190,ENG-SCI 96,53
APPHY 50A,ENG-SCI 51,51
ENG-SCI 150,ENG-SCI 156,51
ENG-SCI 173,ENG-SCI 96,50
COMPSCI 121,STAT 104,49
COMPSCI 121,LING 83,49
COMPSCI 61,STAT 210,49
ENG-SCI 154,ENG-SCI 156,49
BE 191,ENG-SCI 96,48
CHEM 27,ENG-SCI 123,48
ECON 10A,ENG-SCI 51,48
COMPSCI 141,ENG-SCI 156,47
COMPSCI 181,MATH 157,47
COMPSCI 141,COMPSCI 61,46
COMPSCI 51,MATH 23C,46
ENG-SCI 123,ENG-SCI 150,46
ENG-SCI 156,ENG-SCI 96,46
BE 110,PHYSCI 12B,45
COMPSCI 105,STAT 110,45
COMPSCI 121,COMPSCI 175,45
COMPSCI 121,COMPSCI 143,45
COMPSCI 124,MATH 55B,45
COMPSCI 61,STAT 139,45
ENG-SCI 150,ENG-SCI 154,45
APMTH 101,PHYSCI 12B,44
COMPSCI 124,LING 83,44
COMPSCI 51,PHYSCI 1,44
COMPSCI 171,COMPSCI 61,43
COMPSCI 134,STAT 111,42
COMPSCI 179,COMPSCI 191,42
ENG-SCI 100HFA,ENG-SCI 150,42
ENG-SCI 50,ENG-SCI 51,42
COMPSCI 61,ENG-SCI 52,41
COMPSCI 61,ECON 1011A,41
ENG-SCI 51,LPS A,41
APMTH 120,COMPSCI 134,40
COMPSCI 105,COMPSCI 121,40
COMPSCI 124,MATH 113,40
COMPSCI 134,COMPSCI 171,40
COMPSCI 171,COMPSCI 179,40
ENG-SCI 150,ENG-SCI 173,40
ENG-SCI 154,ENG-SCI 96,40
ENG-SCI 53,PHYSICS 15A,40
APMTH 105,ENG-SCI 181,39
APMTH 121,STAT 139,39
COMPSCI 171,COMPSCI 181,39
COMPSCI 171,COMPSCI 182,39
ENG-SCI 154,ENG-SCI 173,39
COMPSCI 1,PSY 18,38
COMPSCI 109,COMPSCI 121,38
APMTH 101,ENG-SCI 96,37
COMPSCI 171,STAT 111,37
ENG-SCI 156,ENG-SCI 173,37
COMPSCI 51,PHYSICS 15C,36
COMPSCI 61,PHYSICS 143A,36
COMPSCI 121,MATH 131,35
COMPSCI 141,ENG-SCI 96,35
ENG-SCI 139,ENG-SCI 95R,35
APMTH 105,ENG-SCI 150,34
COMPSCI 109A,COMPSCI 171,34
COMPSCI 136,STAT 111,34
COMPSCI 20,PSY 15,34
COMPSCI 109A,COMPSCI 61,33
COMPSCI 152,COMPSCI 161,33
